date,max_temp,min_temp
2026-08-22,29.0,23.7
2026-08-23,30.9,24.0
2026-08-24,32.9,24.7
2026-08-25,32.0,26.0
2026-08-26,33.6,25.1
2026-08-27,32.9,22.2
2026-08-28,29.1,22.4
